#Firmware: MS2/Extra 3.4.4 release  20201006 18:17BST(c)KC/JSM/JB    uS
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
1.0,1.0,0.0,0.0,542.1814,542.1814
1.0,1.0,0.0,0.0,0.13728,542.31866
1.0,1.0,0.0,0.0,5.0721,547.39075
1.0,1.0,0.0,0.0,28.91064,576.3014
1.0,1.0,0.0,0.0,42.25188,618.5533
1.0,1.0,0.0,0.0,22.49346,641.04675
1.0,1.0,0.0,0.0,16.8894,657.93616
1.0,1.0,0.0,0.0,14.33388,672.27
1.0,1.0,0.0,0.0,22.92114,695.19116
1.0,1.0,0.0,0.0,12.20736,707.3985
1.0,1.0,0.0,1.0,10.36728,717.7658
1.0,1.0,0.0,1.0,9.91518,727.68097
1.0,1.0,0.0,1.0,9.91914,737.6001
1.0,1.0,0.0,1.0,9.76074,747.36084
1.0,1.0,0.0,1.0,9.867,757.22784
1.0,1.0,0.0,1.0,9.96864,767.1965
1.0,1.0,0.0,1.0,10.28016,777.4766
1.0,1.0,0.0,1.0,10.73226,788.20886
1.0,1.0,0.0,1.0,11.14146,799.35034
1.0,1.0,0.0,1.0,12.14862,811.49896
1.0,1.0,0.0,1.0,13.72404,825.223
1.0,1.0,0.0,1.0,16.28286,841.50586
1.0,1.0,0.0,1.0,20.76954,862.2754
1.0,1.0,0.0,1.0,26.65212,888.9275
1.0,1.0,0.0,1.0,24.65232,913.57983
1.0,1.0,0.0,1.0,18.36714,931.94696
1.0,1.0,0.0,1.0,14.56752,946.51447
1.0,1.0,0.0,1.0,12.31824,958.8327
1.0,1.0,0.0,1.0,11.187,970.0197
1.0,1.0,0.0,1.0,10.59762,980.6173
1.0,1.0,0.0,1.0,10.12902,990.74634
1.0,1.0,0.0,1.0,10.0221,1000.76843
1.0,1.0,0.0,1.0,9.99108,1010.7595
1.0,1.0,0.0,1.0,10.05774,1020.81726
1.0,1.0,0.0,1.0,10.14024,1030.9575
1.0,1.0,0.0,1.0,10.61148,1041.569
1.0,1.0,0.0,1.0,11.1177,1052.6866
1.0,1.0,0.0,1.0,11.67342,1064.3601
1.0,1.0,0.0,1.0,13.47918,1077.8392
1.0,1.0,0.0,1.0,16.17792,1094.0172
1.0,1.0,0.0,1.0,20.93652,1114.9537
1.0,1.0,0.0,1.0,36.76464,1151.7184
1.0,1.0,0.0,1.0,39.70296,1191.4214
1.0,1.0,0.0,1.0,37.15668,1228.5781
1.0,1.0,0.0,0.0,13.20528,1241.7834
1.0,1.0,0.0,0.0,10.59564,1252.379
1.0,1.0,0.0,0.0,9.35682,1261.7358
1.0,1.0,0.0,0.0,8.9694,1270.7052
1.0,1.0,0.0,0.0,8.5569,1279.2621
1.0,1.0,0.0,0.0,8.481,1287.743
1.0,1.0,0.0,0.0,8.56416,1296.3073
1.0,1.0,0.0,0.0,8.54304,1304.8503
1.0,1.0,0.0,0.0,8.79384,1313.6442
1.0,1.0,0.0,0.0,9.13176,1322.7759
1.0,1.0,0.0,0.0,9.63336,1332.4092
1.0,1.0,0.0,0.0,10.6656,1343.0748
1.0,1.0,0.0,0.0,12.39942,1355.4742
1.0,1.0,0.0,0.0,16.14426,1371.6185
1.0,1.0,0.0,0.0,26.69304,1398.3115
1.0,1.0,0.0,0.0,44.10846,1442.4199
1.0,1.0,0.0,0.0,27.5319,1469.9518
1.0,1.0,0.0,0.0,17.8299,1487.7817
1.0,1.0,0.0,0.0,12.5763,1500.358
1.0,1.0,0.0,0.0,10.60158,1510.9596
1.0,1.0,0.0,0.0,9.52842,1520.488
1.0,1.0,0.0,0.0,8.95092,1529.439
1.0,1.0,0.0,0.0,8.57736,1538.0164
