#Firmware: MS2/Extra 3.4.4 release  20201006 18:17BST(c)KC/JSM/JB    uS
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,1.0,0.0,0.0,143.81203,143.81203
1.0,1.0,0.0,0.0,0.34056,144.15259
0.0,1.0,0.0,0.0,3.07032,147.2229
1.0,1.0,0.0,0.0,28.10742,175.33032
0.0,1.0,0.0,1.0,15.49482,190.82513
1.0,1.0,0.0,1.0,9.72312,200.54825
0.0,1.0,0.0,1.0,10.52238,211.07063
1.0,1.0,0.0,1.0,7.80714,218.87778
0.0,1.0,0.0,1.0,4.93614,223.81392
1.0,1.0,0.0,1.0,2.12454,225.93846
0.0,1.0,0.0,1.0,2.53836,228.47682
1.0,1.0,0.0,1.0,5.3823,233.85912
0.0,1.0,0.0,1.0,9.55878,243.4179
1.0,1.0,0.0,1.0,5.9961,249.41399
0.0,1.0,0.0,1.0,8.1246,257.53857
1.0,1.0,0.0,1.0,5.973,263.51157
0.0,1.0,0.0,1.0,8.3721,271.88367
1.0,1.0,0.0,1.0,6.3888,278.27246
0.0,1.0,0.0,1.0,8.63742,286.90988
1.0,1.0,0.0,1.0,5.74596,292.65585
0.0,1.0,0.0,1.0,8.51466,301.1705
1.0,1.0,0.0,1.0,5.34996,306.52045
0.0,1.0,0.0,1.0,4.23918,310.7596
1.0,1.0,0.0,1.0,1.92852,312.68814
0.0,1.0,0.0,1.0,2.25786,314.946
1.0,1.0,0.0,1.0,14.3946,329.3406
0.0,1.0,0.0,1.0,6.56304,335.90366
1.0,1.0,0.0,1.0,3.99828,339.90195
0.0,1.0,0.0,1.0,5.0919,344.99384
1.0,1.0,0.0,1.0,3.9369,348.93073
0.0,1.0,0.0,1.0,4.70844,353.63916
1.0,1.0,0.0,1.0,3.8214,357.46057
0.0,1.0,0.0,1.0,4.89588,362.35645
1.0,1.0,0.0,1.0,3.22608,365.58252
0.0,1.0,0.0,1.0,4.8708,370.4533
1.0,1.0,0.0,1.0,2.06778,372.5211
0.0,1.0,0.0,1.0,6.40662,378.9277
1.0,1.0,0.0,1.0,2.39646,381.32416
0.0,1.0,0.0,1.0,5.54862,386.87277
1.0,1.0,0.0,1.0,3.87552,390.7483
0.0,1.0,0.0,1.0,4.71372,395.462
1.0,1.0,0.0,1.0,2.54298,398.00497
0.0,1.0,0.0,1.0,5.54136,403.54633
1.0,1.0,0.0,1.0,4.29924,407.84558
0.0,1.0,0.0,1.0,4.58898,412.43457
1.0,1.0,0.0,1.0,3.15414,415.5887
0.0,1.0,0.0,1.0,5.90106,421.48978
1.0,1.0,0.0,1.0,4.21674,425.7065
0.0,1.0,0.0,1.0,5.64696,431.3535
1.0,1.0,0.0,1.0,5.52486,436.87836
0.0,1.0,0.0,1.0,5.73804,442.6164
1.0,1.0,0.0,1.0,6.42642,449.04282
0.0,1.0,0.0,1.0,8.80506,457.84787
1.0,1.0,0.0,1.0,6.95046,464.79834
0.0,1.0,0.0,1.0,6.49044,471.2888
1.0,1.0,0.0,1.0,1.53912,472.8279
0.0,1.0,0.0,1.0,3.85638,476.6843
1.0,1.0,0.0,1.0,10.50918,487.19348
0.0,1.0,0.0,1.0,13.88046,501.07394
1.0,1.0,0.0,1.0,9.96666,511.0406
0.0,1.0,0.0,1.0,5.74662,516.78723
1.0,1.0,0.0,1.0,1.4916,518.2788
0.0,1.0,0.0,1.0,3.22674,521.50555
1.0,1.0,0.0,1.0,6.84552,528.3511
0.0,1.0,0.0,1.0,6.36966,534.72076
1.0,1.0,0.0,1.0,6.44028,541.1611
0.0,1.0,0.0,1.0,4.95924,546.1203
1.0,1.0,0.0,1.0,5.346,551.4663
0.0,1.0,0.0,1.0,3.99762,555.4639
1.0,1.0,0.0,1.0,5.15526,560.6192
0.0,1.0,0.0,1.0,3.43728,564.05646
1.0,1.0,0.0,1.0,4.23588,568.29236
0.0,1.0,0.0,0.0,3.8313,572.12366
1.0,1.0,0.0,0.0,2.38062,574.5043
0.0,1.0,0.0,0.0,5.31564,579.8199
1.0,1.0,0.0,0.0,2.37468,582.1946
0.0,1.0,0.0,0.0,5.22456,587.4191
1.0,1.0,0.0,0.0,4.43718,591.8563
0.0,1.0,0.0,0.0,3.03996,594.8963
1.0,1.0,0.0,0.0,2.31924,597.2155
0.0,1.0,0.0,0.0,4.91766,602.1332
1.0,1.0,0.0,0.0,3.45708,605.5903
0.0,1.0,0.0,0.0,4.04514,609.63544
1.0,1.0,0.0,0.0,2.55222,612.1877
0.0,1.0,0.0,0.0,5.13348,617.32117
1.0,1.0,0.0,0.0,3.26436,620.5855
0.0,1.0,0.0,0.0,4.75728,625.3428
1.0,1.0,0.0,0.0,2.86044,628.2032
0.0,1.0,0.0,0.0,5.6727,633.8759
1.0,1.0,0.0,0.0,2.9469,636.8228
